topic,similarity
83,1.2753882715936566
143,1.2665889329999407
339,1.264292143640064
106,1.2576183602873203
476,1.249194085597992
407,1.2482569931757332
358,1.2466403200512841
148,1.2461849949680843
88,1.2456180419151983
439,1.2447255465471856
187,1.2422299415123563
435,1.24187743546916
391,1.241413073959174
29,1.24056077003479
193,1.2400738348563514
122,1.2395566601619543
95,1.2388605824056662
290,1.2385721000758085
123,1.2385255705851774
246,1.238462273641066
466,1.2373700066046283
132,1.2369392038537905
169,1.2359337159271897
382,1.235736077531762
67,1.2356540436791903
90,1.2355484654668902
258,1.2355201075562334
0,1.2354205657940098
352,1.2350936464819253
266,1.235019154992758
379,1.2347095679153095
243,1.234607862858545
38,1.2342934034905344
86,1.2340957632042326
394,1.2339184689767582
141,1.2336816735637997
276,1.2336552915749728
416,1.2331290751695634
420,1.2322029299460926
184,1.2321656218983912
4,1.2317903549284548
247,1.2316076818567057
179,1.2311031643082115
205,1.2310085073809758
127,1.2309026002326857
444,1.230453327708288
99,1.2304450179401196
151,1.2303713409587589
351,1.2297699220545657
236,1.2297041245128797
434,1.2293062439331641
307,1.2289430224377176
74,1.2286652610139939
84,1.2281690670975616
196,1.2280798791784102
365,1.2278539216623896
473,1.227701069730701
469,1.2274142801761627
199,1.2273802317461922
468,1.2271126713415588
360,1.2270427469653313
219,1.226977161169052
171,1.2268833129533698
178,1.22683452028747
302,1.2267184503299675
191,1.226632864186258
456,1.2263807367603734
233,1.226068040120949
124,1.2260051480361394
474,1.2260029218413613
114,1.2258046679198742
68,1.2257220143621619
6,1.2255802576981703
487,1.2254667137433024
463,1.2253621382133983
321,1.2251760530694624
478,1.2248959590535646
131,1.2248708397970287
459,1.2238910043781455
263,1.2237026876052925
230,1.223668626211222
208,1.2236253123472234
18,1.2233973898670891
215,1.223388747841704
471,1.223024610716563
269,1.2228633648944351
357,1.2225347105413675
271,1.222417609559165
397,1.222106687876643
32,1.2220076912870774
36,1.2216084719908358
313,1.2205237728357314
364,1.2202838281972692
491,1.2199681968643115
449,1.219913088580937
398,1.2195182171198402
153,1.219407851647849
289,1.2192085090371751
220,1.2188162626606402
186,1.2187873554229736
433,1.21865120947361
98,1.2184795890704239
115,1.2183405452966691
295,1.2181783347175672
204,1.2180572164179098
210,1.2175121153752828
231,1.2173848121750113
192,1.2172757790202187
165,1.2166734195003905
441,1.2163960033655168
248,1.21564418460251
387,1.2150929874181746
310,1.214996674713099
253,1.2149840114042931
361,1.2148829610040872
370,1.2147434858175425
54,1.2146194729269766
343,1.214015856666385
174,1.2136224531609079
328,1.2135864081336003
386,1.2132787074272833
288,1.2111634443504642
489,1.210596949502986
116,1.2093567458066072
242,1.2080590695727105
80,1.2071808547927783
146,1.2061737030744553
39,1.2058091275762803
368,1.2033334551471295
475,1.2031569431225457
486,1.2007392170359787
494,1.1996314499563385
