topic,similarity
463,1.437168250017077
321,1.4364091798523875
99,1.433263652680213
491,1.433003044472291
459,1.4326088092543863
83,1.4316906469767212
449,1.4309126451177505
444,1.428644838683102
233,1.4272876931625662
397,1.425555806378929
489,1.4252499482964955
339,1.4249236367997669
143,1.4242374239680924
394,1.423152950006662
90,1.4217477680229749
351,1.419734559617601
84,1.419463536036866
95,1.4192408649426587
365,1.4189435496794438
439,1.418817894481053
382,1.4170111926323776
474,1.4162095221606168
0,1.4159870649328328
86,1.414765420387376
290,1.4147629824551669
187,1.4145687703324967
127,1.414382008191581
243,1.4136396572703407
38,1.4133525473891564
276,1.4131251363842576
364,1.4127529241623136
215,1.4119025825285445
29,1.4114310550239852
199,1.4112507689346387
487,1.4111305440513833
6,1.4105998763760317
289,1.4097485757365669
358,1.40974497624806
148,1.4096072940872266
466,1.4095192594961685
169,1.4093941799525558
68,1.409341731938449
247,1.4092825232790067
54,1.4091765631218345
193,1.4091755074483379
352,1.4090102490256813
74,1.408922466838244
146,1.4085997766256333
220,1.408210011401979
153,1.4076967227338542
165,1.4076623482008777
391,1.407638739656519
80,1.4075623252070866
122,1.40653040587345
456,1.4063015433977235
124,1.40589721316383
179,1.4053586385831112
386,1.4051168349881968
434,1.4048995897173882
192,1.4045853609130496
178,1.404426954208164
210,1.4037132625727309
171,1.4037099326295512
441,1.4036375045776368
248,1.403356243710999
106,1.4031504255480471
236,1.402927519445834
205,1.4027926899562373
258,1.4021531396207556
370,1.4020240971675286
67,1.4015127508947165
420,1.4011671697864165
230,1.4007584232728458
18,1.40026791583408
141,1.4002066121518033
387,1.4000422662496566
219,1.3993641912937165
476,1.3980773792547339
116,1.397867127982053
313,1.3977113819122313
39,1.3972805437475149
204,1.3967706097496881
4,1.3962619771828524
184,1.396113845435056
398,1.3951054126909463
469,1.3945432054061517
88,1.3944869743039212
407,1.3942636239646684
242,1.3940010216890597
266,1.3934148585095125
478,1.3927231846599404
186,1.3922076690196992
123,1.3917990659291928
269,1.3908073862768568
310,1.3907511487322033
435,1.3903911049459494
208,1.3890517171066588
357,1.3884297187129655
253,1.3882922327395568
494,1.3879047435464211
196,1.3871880606212446
191,1.3871031686513111
131,1.3869995824787595
36,1.3869501418537564
307,1.3866729181745778
151,1.3862990393783106
468,1.3831392171406987
98,1.3827499564331358
246,1.3822160672057757
433,1.3816013646125793
473,1.3811558304410991
231,1.3811012999135621
115,1.378925436735153
271,1.3781151164461065
288,1.3776834950302588
328,1.3752287474333071
343,1.3748003205038466
360,1.3742461692203176
368,1.3733291029930115
302,1.3728363649132325
132,1.3714464438649325
174,1.3713025139725725
295,1.3702936459046144
379,1.3700135664506392
263,1.369521357844361
416,1.3673333823680878
114,1.3667770375808082
471,1.364888886992748
32,1.3647288341934865
475,1.364574764544765
486,1.362930517173508
361,1.3623220430742395
