topic,similarity
127,1.4396548399301334
215,1.4372587759120792
358,1.429939964271727
148,1.4298025851066296
124,1.4287483419690812
456,1.4273809127087862
246,1.385201880606738
236,1.3851243669572084
179,1.3850220506932556
474,1.384364476799965
307,1.3839727181455364
208,1.383612106342127
178,1.383591451776137
205,1.3808101387781517
204,1.3789577685823344
18,1.3779570205645126
186,1.3767026898264885
165,1.375359452019135
83,1.372140530924328
420,1.3712555966698208
192,1.370670817579542
339,1.366388653573536
143,1.3637310926602266
468,1.3440624815647049
407,1.3433427940500846
473,1.3424481237777557
466,1.3320881979031998
90,1.3293092443806227
253,1.3286397598453403
382,1.3257805185580471
313,1.3249422162771225
84,1.3242924639156888
276,1.324291381571028
365,1.3233260206416646
38,1.3229242535132282
86,1.3225173416002742
6,1.321712356169247
0,1.3209004608711394
352,1.3208745776438247
487,1.3205218974826405
153,1.3190652421026519
243,1.3189117897124518
74,1.3186547397409827
441,1.3177347743511199
386,1.3177033917357526
54,1.317527139065217
123,1.3163451446363559
220,1.31633061642694
141,1.3162650824750513
210,1.3161412975222793
106,1.315009997745531
99,1.312937494171293
230,1.311956709160388
122,1.3119077103160253
88,1.3117271323377886
288,1.3113790103281389
351,1.3107044482016348
187,1.309728900925452
394,1.3094846913495015
32,1.3091508522629738
471,1.3091201048630934
171,1.3088638122592653
321,1.3086471354292932
463,1.3086158343564684
219,1.3084325537085533
370,1.3082358567760541
434,1.3077396607169738
266,1.3074639430817436
391,1.3071599779305636
39,1.3068544239100843
248,1.306743198578511
67,1.3059612875527673
444,1.3056176364968675
476,1.3056035804397919
439,1.305464582186993
169,1.304372270302526
449,1.304095370676911
199,1.3040411206125055
494,1.3031441540394013
95,1.3029916815037996
193,1.3027453643304332
116,1.3027104234153573
397,1.3024095245161835
491,1.301152811314051
387,1.3009428465366364
29,1.300701180156672
459,1.2996064186096192
68,1.2978775539181449
151,1.2972588135738565
80,1.2968321717702427
233,1.2956143519253407
258,1.2944821493815533
489,1.293231987825004
328,1.292987561401199
435,1.2873940760014104
310,1.2872048821651711
115,1.2864385837316514
174,1.2860415419806603
295,1.2833955419751315
98,1.282966113326573
269,1.2827195848496455
231,1.2825863951322982
433,1.282452162504196
271,1.2820904238356485
302,1.2818994786321503
368,1.2817106176130841
343,1.2817047266465313
247,1.280952296864528
469,1.2807837949663985
357,1.280529989550511
114,1.2797140224526324
398,1.2797105639877886
263,1.2790277824465153
131,1.2789531060315054
379,1.278346428004178
191,1.277665032280816
364,1.2763209534347604
360,1.273785671200415
290,1.273562180725011
416,1.272284181714058
196,1.272188045809754
36,1.272138988128816
242,1.2719687796106527
184,1.27113980921832
289,1.2710007957576477
4,1.2708291030144907
146,1.2702642703056335
132,1.267707947641611
475,1.2637138863404593
486,1.2636193031246221
478,1.2632477934207391
361,1.2374256383074393
