topic,similarity,nouns,probabilities
167,0.09114283118864894,"['ライブ', '楽屋', '出川', '元君', '生理', '仕事始め', 'スペック', '田曽', 'ニスヤキ', '鉄の女']","[0.72854257, 0.192373, 0.07203488, 3.4476517e-07, 3.4476517e-07, 3.4476517e-07, 3.4476517e-07, 3.4476517e-07, 3.4476517e-07, 3.4476517e-07]"
1,0.07505345713270076,"['アルバム', '叩き', '元君', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理', 'CPU']","[0.96631163, 0.0028191842, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06, 1.5096563e-06]"
122,0.07226566006937216,"['フェス', '久々', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '争奪戦']","[0.88012433, 0.08517878, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06, 1.6968448e-06]"
131,0.07187534841750001,"['イベント', 'ホテル', '売り場', '鉄の女', 'スペック', '毛穴', '総額', '田曽', '仕事始め', 'CPU']","[0.8116314, 0.17878988, 0.00015112487, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07]"
106,0.07185693366718673,"['スタジオ', 'アイドル', 'ソロ', 'あい', '総額', '争奪戦', 'スペック', '鉄の女', 'CPU', 'トム']","[0.56942964, 0.30997908, 0.06972673, 0.037295222, 6.636702e-07, 6.636702e-07, 6.636702e-07, 6.636702e-07, 6.636702e-07, 6.636702e-07]"
179,0.071400986496785,"['言葉', '性格', '元君', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理', 'CPU']","[0.9669301, 0.016239958, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07]"
190,0.07137558213330594,"['ドラマ', '仕事始め', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.96665746, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06, 1.6305225e-06]"
18,0.07079393909513255,"['映画', 'スイッチ', 'お芝居', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.8100493, 0.13693129, 0.03928339, 6.71789e-07, 6.71789e-07, 6.71789e-07, 6.71789e-07, 6.71789e-07, 6.71789e-07, 6.71789e-07]"
78,0.0701469380746198,"['ラジオ', '仕事始め', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.9948111, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07, 2.5375874e-07]"
5,0.07001765938094084,"['学校', 'こだわり', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.8600758, 0.11853247, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06]"
