topic,similarity,nouns,probabilities
178,0.07677035596588991,"['野球', '目標', '関西', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.7055128, 0.15629093, 0.123515844, 7.179742e-07, 7.179742e-07, 7.179742e-07, 7.179742e-07, 7.179742e-07, 7.179742e-07, 7.179742e-07]"
45,0.07412573250013638,"['ベッド', '太郎', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.88073534, 0.088268384, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06, 1.5158641e-06]"
6,0.0734645965562373,"['子供', 'バッチ', 'ボス', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.9511463, 0.01711264, 0.0075839013, 1.1814504e-06, 1.1814504e-06, 1.1814504e-06, 1.1814504e-06, 1.1814504e-06, 1.1814504e-06, 1.1814504e-06]"
172,0.07322719636822526,"['気持ち', 'まあ', '元君', 'ルンド', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.9637017, 0.026283542, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07, 4.8976665e-07]"
136,0.0730065285065659,"['とこ', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '仕事始め']","[0.99344176, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07, 3.2073146e-07]"
16,0.07294468340290186,"['ご飯', '友達', '収録中', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.5290809, 0.46489546, 0.0014621424, 2.2309482e-07, 2.2309482e-07, 2.2309482e-07, 2.2309482e-07, 2.2309482e-07, 2.2309482e-07, 2.2309482e-07]"
96,0.07194140338928542,"['春日', 'チャンス', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.50118065, 0.43683293, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06]"
68,0.07192932229631493,"['カメラ', 'お茶', 'ろう', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.45009962, 0.42564684, 0.08565543, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06]"
53,0.07185419444471867,"['背中', '世界', '代わり', 'エンディング', '体力', '忘れないで', '鉄の女', 'CPU', '田曽', '総額']","[0.44585764, 0.34339958, 0.12050362, 0.061649676, 0.019019637, 0.0015579137, 3.9189942e-07, 3.9189942e-07, 3.9189942e-07, 3.9189942e-07]"
134,0.07178867748072117,"['ギャル', 'アニメ', '中心', '主人公', '田曽', '毛穴', '争奪戦', 'CPU', '総額', 'スペック']","[0.33200693, 0.32237333, 0.18375266, 0.14270687, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07]"
60,0.07152601681042539,"['漫才', 'いとこ', '世間', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.8133926, 0.119895734, 0.032528512, 1.6717946e-06, 1.6717946e-06, 1.6717946e-06, 1.6717946e-06, 1.6717946e-06, 1.6717946e-06, 1.6717946e-06]"
19,0.0714031951451709,"['距離', '通り', '生理', '仕事始め', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.6752755, 0.30312395, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06, 1.0563618e-06]"
67,0.07110735070580997,"['青春', '記事', '生理', '仕事始め', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.95893985, 0.027607128, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07, 6.5791244e-07]"
110,0.07103651958035194,"['真ん中', 'バイク', 'ジム', '端っこ', '生理', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.48267215, 0.3276098, 0.10367319, 0.06289267, 1.1323538e-06, 1.1323538e-06, 1.1323538e-06, 1.1323538e-06, 1.1323538e-06, 1.1323538e-06]"
81,0.07094762483558185,"['ファン', '画像', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '争奪戦']","[0.935961, 0.047339987, 8.166465e-07, 8.166465e-07, 8.166465e-07, 8.166465e-07, 8.166465e-07, 8.166465e-07, 8.166465e-07, 8.166465e-07]"
131,0.07094200812705716,"['イベント', 'ホテル', '売り場', '鉄の女', 'スペック', '毛穴', '総額', '田曽', '仕事始め', 'CPU']","[0.8116314, 0.17878988, 0.00015112487, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07, 4.6106615e-07]"
127,0.07057230055573703,"['周り', '大会', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '争奪戦']","[0.62968636, 0.33615535, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06, 1.6704955e-06]"
179,0.07034414794730216,"['言葉', '性格', '元君', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理', 'CPU']","[0.9669301, 0.016239958, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07, 8.230542e-07]"
14,0.07030242275762341,"['世代', '歴史', '生理', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '争奪戦']","[0.6254368, 0.33367038, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06]"
22,0.0702319744552819,"['LINE', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'ルンド']","[0.96914214, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06]"
49,0.0698877996287051,"['思い出', 'you', '弾き語り', '仕事始め', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.8284958, 0.12674761, 0.017409766, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06]"
9,0.06987365479936229,"['本気', 'ルンド', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', '争奪戦']","[0.924946, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06, 3.6702938e-06]"
25,0.06982535189115814,"['かも', '調子', '光景', '鉄の女', 'スペック', '毛穴', 'CPU', '田曽', '仕事始め', '総額']","[0.4897349, 0.3645896, 0.10099052, 2.185415e-06, 2.185415e-06, 2.185415e-06, 2.185415e-06, 2.185415e-06, 2.185415e-06, 2.185415e-06]"
27,0.06952495946401129,"['北海道', 'プロ', 'プロレス', '熊本', '田曽', '元君', 'スペック', '鉄の女', '仕事始め', '生理']","[0.5673866, 0.31409347, 0.08665045, 0.004973328, 1.3154787e-06, 1.3154787e-06, 1.3154787e-06, 1.3154787e-06, 1.3154787e-06, 1.3154787e-06]"
3,0.06951906941923747,"['音楽', '人間', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.6920548, 0.30353805, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07, 2.1551907e-07]"
5,0.06945563178126177,"['学校', 'こだわり', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.8600758, 0.11853247, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06, 1.046139e-06]"
37,0.06934592718638433,"['かね', 'ほんま', 'サクッ', '毛穴', '争奪戦', 'CPU', '総額', 'スペック', '田曽', '鉄の女']","[0.85187155, 0.12166274, 0.0074444143, 9.3027273e-07, 9.3027273e-07, 9.3027273e-07, 9.3027273e-07, 9.3027273e-07, 9.3027273e-07, 9.3027273e-07]"
10,0.06925935400237518,"['最初', '言い方', 'シロ', '元君', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.84632933, 0.14689548, 0.00011242272, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07]"
177,0.06907108813450398,"['事務所', '仕事始め', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.96821976, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06, 1.5541259e-06]"
192,0.06902718423718873,"['女性', 'リハ', '水筒', '口調', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.72848785, 0.22333288, 0.022006057, 0.011404898, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07]"
182,0.06891819478231134,"['バンド', '武道館', '時計', 'バン', 'ベタ', 'ポジション', '散々', '毛穴', '生理', '鉄の女']","[0.5029575, 0.2376345, 0.1653508, 0.033304606, 0.02193065, 0.019957397, 0.0005315593, 8.9679054e-07, 8.9679054e-07, 8.9679054e-07]"
142,0.06891736975515353,"['仲間', '魔法', 'ひとり', 'ナイト', 'メロン', 'ルンド', '元君', '毛穴', '仕事始め', '鉄の女']","[0.6979747, 0.10913921, 0.09403304, 0.040305264, 0.0026458795, 2.7342503e-06, 2.7342503e-06, 2.7342503e-06, 2.7342503e-06, 2.7342503e-06]"
43,0.06863019360709811,"['だし', '機会', '人数', '救い', 'ずっと前から好きでした。', '争奪戦', '総額', '田曽', 'トム', 'CPU']","[0.47244486, 0.3404108, 0.13454072, 0.027402217, 1.2325901e-06, 1.2325901e-06, 1.2325901e-06, 1.2325901e-06, 1.2325901e-06, 1.2325901e-06]"
116,0.06859574457200808,"['海外', '風呂', '状況', '元君', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.42581537, 0.29851335, 0.2629526, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07]"
