file_path,transcription,topic,topic_probability,nouns,probabilities
./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_1.wav,"62時刻は3時になりました
星野源さんお疲れ様でした
2024年6月25日火曜日
この時間はアナのオールナート日本ゼロをお送りしていきます
はいアナです
今夜のゲストこの方
どうもソシナですお願いします
お疲れお疲れお疲れ
いやもう最初から
オールです
星野源さんお疲れ様でした
ライブお疲れ様でした
ソシナファーストツアー
制裁と大義のアリア
梅田クラブカートロの
とこで
僕がやってるバンド
アイズと
ってことは大阪です
大阪から2人で
生放送でお届けしてもらう
この映像も見れるんですね
こちらのライブですか
そうやな数時間前に終わって
ちゃんと引き入るアイズ
と音楽のライブをやらせてもらい
このツアー
初日
初回やったんですけど
お花をいただいたりして
スタンド花
すごいよあのちゃんのデンデンデンパより
ソシナ様みたいな
あの猫のササキのキャラクターが花に刺さってるやつみたいな
スポットファイト
の人たちもまたもデンデンデンはかな
ソシナ&アノ様
オールナイトニッポンは
花
花いるぞ今日
でも現地に見に来てる方もいました
ええそうなんや
花は
花ないねなかった
オールナイトニッポンファミリーやねんから
ああそうですかいやいや
それは冗談なんですけど
ねえファーストツアー
ていうかもうほんとほぼほぼ初ライブみたいなことだよねだから
大阪は初
一回だけその10人限定のなんか
そういうライブは一回やったけど
声もこんなんで申し訳ないけど
初めて見たライブ
言葉にならないから歌ってんだなみたいな
音楽が
言葉
皆さんここ熱いです
言葉にならないから音楽ってあるんだなって思わされましたね
ソシアノは
ソシアノ?
",83,0.1879199892282486,"['ライブ', '現地', '映像', '光景', 'ひかり', 'MC']","[0.795279, 0.12569395, 0.059457414, 0.010402372, 0.0027251835, 7.418978e-05]"
./././Data/test_data/mid_presentation/ano\20240626\split_audio_1_1.wav,"ソシアノは
いやそういう需要じゃなくて
いやもう本当になんか今のバンドシーンに
今のバンドシーンに無くてはならない存在が誕生してしまいましたね
やっててどうだったん逆に自分で
もちろん上手ではないしまだまだ至らんとこもあんねんけど
緊張した顔やばかった
ほんまにお笑いのライブとかイベントは
なんやろなこうだって漫才するってなっても
出番前
でなんか間違えてもまあなんとかなるし
間違えたことをいじれるし笑いにできるし
いや音楽結構めっちゃ練習したな
ほんまに一個前がM-1グランプリぐらい
いや内容間違えたらあかんとか
まあ間違えても別に大丈夫な音楽性かと思ってたけど
いややっぱその自分の立場でさ
